"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
No";;
"  
Yes, the premise does entail the hypothesis. The premise states that Milreu was """;;
"  
Yes, the premise does entail the hypothesis. The premise states that the country's";;
"  
Yes, the premise does entail the hypothesis. The premise states that upon joining the Community";;
"  
Yes";;
"  
No, the premise does not entail the hypothesis. The premise states that the sea temperature";;
"  
Yes";;
"  
Yes, the premise does entail the hypothesis. The premise states that there are three protected";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
  Vandag is die ou gebou die tuiste van die Edinburgh Experience;"n 20-minuut, 3-D skyfievertoning wat die geskiedenis van die stad in kaart bring en die Edinburgh van vandag tot lewe bring (slegs April-Oktober). 
Hypothesis:  Die gebou het nie 'n skyfievertoning nie. 
Does the premise entail the hypothesis?  
Choose between yes or no. 
Answer:  
Yes";
  Vandag is die ou gebou die tuiste van die Edinburgh Experience;"n 20-minuut, 3-D skyfievertoning wat die geskiedenis van die stad in kaart bring en die Edinburgh van vandag tot lewe bring (slegs April-Oktober). 
Hypothesis:  Die gebou het 'n 3D-skyfieshow oor die stad se geskiedenis. 
Does the premise entail the hypothesis?  
Choose between yes or no. 
Answer:  
Yes";
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
  Dan kom Bona;"n sentrum van mandjie- en mandjie-ontwerp wat ook die tuiste van die kecak-dans is. 
Hypothesis:  Bona is die tuiste van die kecak-dans. 
Does the premise entail the hypothesis?  
Choose between yes or no. 
Answer:  
Yes";
  Dan kom Bona;"n sentrum van mandjie- en mandjie-ontwerp wat ook die tuiste van die kecak-dans is. 
Hypothesis:  Die kecak-dans is nie van Bona nie. 
Does the premise entail the hypothesis?  
Choose between yes or no. 
Answer:  
Yes";
"  
Yes";;
"  
Yes";;
"  
No";;
"  
Yes";;
  Besoekers gooi muntstukke daarin in die hoop om een van' n skilpad se kop af te bons;"n gewisse manier om geluk te behaal. 
Hypothesis:  Mense gooi nooit geld daarin omdat dit slegte geluk bring nie. 
Does the premise entail the hypothesis?  
Choose between yes or no. 
Answer:  
Yes";
  Besoekers gooi muntstukke daarin in die hoop om een van' n skilpad se kop af te bons;"n gewisse manier om geluk te behaal. 
Hypothesis:  Mense gooi muntstukke in die water. 
Does the premise entail the hypothesis?  
Choose between yes or no. 
Answer:  
Yes";
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes. The premise does entail the hypothesis because if you are looking for a good base to";;
"  
Yes";;
"  
Yes. The premise does entail the hypothesis because it implies that the inhabitants of the area are";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes, the premise does entail the hypothesis because it provides a logical explanation for how and why";;
"  
Yes, the premise does entail the hypothesis because if 100 vate kruit";;
"  
Yes";;
"  
Yes";;
"  
Yes, the premise does entail the hypothesis. The premise states that Otto Frank and his";;
"  
Yes, the premise does entail the hypothesis because if Otto Frank and his family were hiding on";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes, the premise does entail the hypothesis. The premise states that the building is old";;
"  
Yes, the premise does entail the hypothesis. The premise states that the building's";;
"  
No";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
  Vir 'n outentieke gevoel van die ou Portugal, moet jy in die koel voorportaal van die indrukwekkende Leal Senado (Loyal Senate gebou);"n goeie voorbeeld van koloniale argitektuur. 
Hypothesis:  Die Lojale Senaat gebou is pragtig. 
Does the premise entail the hypothesis?  
Choose between yes or no. 
Answer:  
Yes";
  Vir 'n outentieke gevoel van die ou Portugal, moet jy in die koel voorportaal van die indrukwekkende Leal Senado (Loyal Senate gebou);"n goeie voorbeeld van koloniale argitektuur. 
Hypothesis:  Die gebou van die Lojale Senaat is moderne argitektuur. 
Does the premise entail the hypothesis?  
Choose between yes or no. 
Answer:  
Yes";
"  
Yes, the premise does entail the hypothesis. The premise states that a certain event occurred";;
"  
Yes, the premise does entail the hypothesis. The premise states that a certain event occurred";;
"  
Yes";;
"  
Yes";;
"  
Yes, the premise does entail the hypothesis. The premise states that all the beaches";;
"  
Yes, the premise does entail the hypothesis. The premise states that there are certain open";;
"  
Yes, the premise does entail the hypothesis. The premise states that during the Sixth";;
"  
Yes, the premise does entail the hypothesis. The premise states that Frederick II was able";;
"  
Yes, the premise does entail the hypothesis. The premise states that the Triumphal";;
"  
Yes, the premise entails the hypothesis. The premise states that the Poort was part";;
"  
Yes, the premise does entail the hypothesis because it implies that most of the music in the";;
"  
Yes, the premise does entail the hypothesis. The premise states that most of the music";;
"  
Yes, the premise does entail the hypothesis because if the Patroon had asked for help";;
"  
Yes, the premise does entail the hypothesis because if the Moris had helped the Patro";;
"  
Yes, the premise does entail the hypothesis. The premise states that you can buy a";;
"  
Yes, the premise does entail the hypothesis. The premise states that you can buy a";;
"  
Yes, the premise does entail the hypothesis because it states that from May to mid-Oct";;
"  
Yes, the premise does entail the hypothesis. The premise states that there are cruises";;
"  
Yes";;
"  
Yes";;
"  
Yes, the premise does entail the hypothesis. The premise states that the Spanish were able";;
"  
Yes, the premise entails the hypothesis because if the Spanish people were able to establish a beach";;
"  
Yes";;
"  
Yes";;
"  
Yes, the premise does entail the hypothesis. The premise states that there is an attract";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes, the premise does entail the hypothesis. The premise states that 181";;
"  
Yes, the premise does entail the hypothesis. The premise states that 181";;
"  
Yes. The premise does entail the hypothesis because it suggests that Noske wanted things to";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes, the premise does entail the hypothesis. The premise states that they were the first";;
"  
Yes, the premise does entail the hypothesis. The premise states that they were the first";;
"  
Yes";;
"  
Yes";;
"  
Yes, the premise does entail the hypothesis because it implies that the painting on the ceiling";;
"  
Yes, the premise does entail the hypothesis because it provides a logical connection between the two statements";;
"  
Yes, the premise entails the hypothesis because it implies that all the attendees of";;
"  
Yes, the premise entails the hypothesis. The premise states that Party Athenians have";;
"  
Yes, the premise does entail the hypothesis because it implies that there is a requirement for a";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes, the premise does entail the hypothesis. The premise states that ""Slegs";;
"  
Yes, the premise does entail the hypothesis. The premise states that ""Slegs";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes, the premise does entail the hypothesis. The premise states that the gods are consult";;
"  
Yes, the premise does entail the hypothesis. The fact that the gods spoke through the oracle";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
No";;
"  
Yes";;
"  
Yes";;
"  
No. The premise and hypothesis are not related in any way. The three Meru tope";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes, the premise does entail the hypothesis. The premise states that the purpose of the";;
"  
Yes";;
"  
Yes";;
"  
Yes, the premise entails the hypothesis. The premise states that the Beaux Arts city";;
"  
Yes, the premise entails the hypothesis because if the Beaux Arts-stadsaal (";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
No. The premise and hypothesis are not related. The premise states that MIT was founded";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes, the premise does entail the hypothesis. The premise states that the independence movement failed";;
"  
Yes, the premise does entail the hypothesis. The premise states that the Parliament never existed";;
"  
Yes";;
"  
Yes";;
"  
Yes, the premise does entail the hypothesis. The premise states that Ramses II";;
"  
No, the premise does not entail the hypothesis. The premise states that Ramses";;
"  
No";;
"  
No";;
"  
Yes, the premise entails the hypothesis. The presence of a stove on one side and";;
"  
Yes, the premise does entail the hypothesis. The premise mentions a kitchen on one side";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
  Die gebou bo die ondergrondse kwartiere van die SS-wagte huisves die Topographie des Terrors;"n uitstalling van foto's en dokumente wat die lewens van diegene wat die Nazi-terreur weerstaan het, op 'n roerende manier illustreer. 
Hypothesis:  Die gebou het nie 'n kelder gehad nie. 
Does the premise entail the hypothesis?  
Choose between yes or no. 
Answer:  
Yes";
  Die gebou bo die ondergrondse kwartiere van die SS-wagte huisves die Topographie des Terrors;"n uitstalling van foto's en dokumente wat die lewens van diegene wat die Nazi-terreur weerstaan het, op 'n roerende manier illustreer. 
Hypothesis:  Die gebou was bo die SS-waghuise. 
Does the premise entail the hypothesis?  
Choose between yes or no. 
Answer:  
Yes";
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes. The premise provides evidence that the province was experiencing economic hardship during the Great De";;
"  
Yes, die premise entails the hypothesis. The premise states that the Olympic Games of ";;
"  
Yes";;
"  
Yes, the premise does entail the hypothesis. The premise states that actors will play the";;
"  
Yes, the premise does entail the hypothesis. The premise states that actors will play the";;
"  
Yes, the premise does entail the hypothesis. The premise states that the bee has";;
"  
Yes, the premise does entail the hypothesis because it provides a logical connection between the two statements";;
"  
Yes, the premise does entail the hypothesis. The premise states that there is a detailed";;
"  
Yes, the premise does entail the hypothesis. The premise states that there are many water";;
"  
Yes, the premise does entail the hypothesis. The premise states that ""Van die";;
"  
Yes, the premise does entail the hypothesis. The premise states that there is no path";;
"  
Yes, the premise does entail the hypothesis. The premise states that the great gift-";;
"  
Yes, the premise entails the hypothesis. The premise states that the great ghost is";;
"  
Yes";;
"  
Yes";;
  Die eiland se rustigheid het tot 1287 geduur, toe Alfonso III van Aragen, wat geteister was oor 'n reeks vernederings deur sy edelmense;"n voorwendsel vir die inval gevind het. 
Hypothesis:  Die eiland was nooit vreedsaam nie. 
Does the premise entail the hypothesis?  
Choose between yes or no. 
Answer:  
Yes";
  Die eiland se rustigheid het tot 1287 geduur, toe Alfonso III van Aragen, wat geteister was oor 'n reeks vernederings deur sy edelmense;"n voorwendsel vir die inval gevind het. 
Hypothesis:  Die eiland was baie stil. 
Does the premise entail the hypothesis?  
Choose between yes or no. 
Answer:  
Yes";
"  
Yes";;
"  
Yes";;
"  
Yes, the premise does entail the hypothesis. The wording of the premise makes it";;
"  
Yes, the premise does entail the hypothesis. The word ""grootste"" in the";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes, the premise entails the hypothesis because if there are two pieces of wood, then there";;
"  
Yes, the premise does entail the hypothesis because if two pieces of wood are placed on top";;
"  
Yes";;
"  
Yes.  The premise does entail the hypothesis because it provides a reason why there might be";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes, the premise does entail the hypothesis. The premise states that binckes-";;
"  
Yes, the premise does entail the hypothesis. The premise mentions that skating is available";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes, the premise does entail the hypothesis. The premise states that there are high points";;
"  
Yes, the premise does entail the hypothesis. The premise states that ""Sie die";;
"  
Yes, the premise does entail the hypothesis. The premise states that Caldas de";;
"  
Yes, the premise does entail the hypothesis. The premise mentions that Caldas de";;
"  
Yes, the premise does entail the hypothesis because if you can take a detour around the";;
"  
Yes";;
"  
Yes, the premise does entail the hypothesis. The premise states that visitors are encouraged";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
  Op jou pad sal jy by die Paleis van Beeldende Kunste verbygaan;"n gerestaureerde oorblyfsel van die Panama-Stille Oseaan Internasionale Uitstalling. 
Hypothesis:  Die paleis van pragtige kuns is alles oorspronklik. 
Does the premise entail the hypothesis?  
Choose between yes or no. 
Answer:  
Yes";
  Op jou pad sal jy by die Paleis van Beeldende Kunste verbygaan;"n gerestaureerde oorblyfsel van die Panama-Stille Oseaan Internasionale Uitstalling. 
Hypothesis:  Die Paleis van Beeldende Kunste is herstel. 
Does the premise entail the hypothesis?  
Choose between yes or no. 
Answer:  
Yes";
"  
Yes, the premise does entail the hypothesis. The premise states that number 8 was";;
"  
Yes, the premise does entail the hypothesis. The premise states that number 8 was";;
"  
Yes, the premise does entail the hypothesis. The premise states that God has given the";;
"  
Yes, the premise does entail the hypothesis. The premise states that God did not provide";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes, the premise does entail the hypothesis. The premise mentions ""the history of the";;
"  
Yes, the premise does entail the hypothesis. The premise states that the museum showcases";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes, the premise does entail the hypothesis. The fact that Die Damplein (D";;
"  
Yes, the premise does entail the hypothesis. The fact that Damplein has never been";;
"  
Yes";;
"  
Yes";;
"  
Yes, the premise does entail the hypothesis. The premise states that boot jies are";;
"  
Yes, the premise does entail the hypothesis. The premise states that bootjies are";;
"  
Yes";;
"  
No";;
"  
Yes, the premise entails the hypothesis because if there are no apes in the area,";;
"  
Yes, the premise entails the hypothesis because if there are apes in the wilderness";;
"  
Yes, the premise does entail the hypothesis. The premise states that there are different sizes";;
"  
Yes, the premise does entail the hypothesis. The premise states that the words are simple";;
  Die nabygeleë Xlapak het net een groot gebou;"n paleis, maar Labna, die laaste Puuc-plek op die toer, het 'n aantal geboue om te verken. 
Hypothesis:  Xlapak het 20 paleise. 
Does the premise entail the hypothesis?  
Choose between yes or no. 
Answer:  
Yes";
  Die nabygeleë Xlapak het net een groot gebou;"n paleis, maar Labna, die laaste Puuc-plek op die toer, het 'n aantal geboue om te verken. 
Hypothesis:  Xlapak het een paleis. 
Does the premise entail the hypothesis?  
Choose between yes or no. 
Answer:  
Yes";
"  
Yes. The premise states that two identical churches, the French Church (or French Cathedral)";;
"  
Yes. The premise states that two churches are identical, which implies that they are the same church";;
"  
Yes";;
"  
Yes, the premise does entail the hypothesis because it implies that there is a virtual history multimedia";;
"  
Yes";;
"  
Yes";;
"  
Yes, the premise does entail the hypothesis. The premise states that there is an island";;
"  
Yes, the premise does entail the hypothesis. The premise states that there is an island";;
"  
Yes. The premise states that Amsterdam has a lot of facets (or sides), but not";;
"  
Yes. The premise ""Amsterdam has many facets, almost as much as the diamond";;
"  
Yes, the premise does entail the hypothesis. The premise states that there are many different";;
"  
Yes, the premise does entail the hypothesis. The premise states that there are various f";;
"  
Yes";;
"  
Yes. The premise and hypothesis are closely related as they both describe aspects of ancient Athens.";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes, the premise does entail the hypothesis because if there is a longer season from April to";;
"  
Yes, the premise does entail the hypothesis. The premise states that the Saronese";;
"  
Yes";;
"  
Yes";;
  Die naaste fasiliteite kan gevind word by die berg Parnassus (van Desember tot Maart);"n twee uur se ry van die stad af. 
Hypothesis:  Die berg Parnassus is net 10 minute se ry van die stad af 
Does the premise entail the hypothesis?  
Choose between yes or no. 
Answer:  
Yes";
  Die naaste fasiliteite kan gevind word by die berg Parnassus (van Desember tot Maart);"n twee uur se ry van die stad af. 
Hypothesis:  Mount Parnassus is nie 'n baie lang rit nie. 
Does the premise entail the hypothesis?  
Choose between yes or no. 
Answer:  
Yes";
"  
Yes, the premise does entail the hypothesis because if you are playing against professional gamblers";;
"  
Yes, the premise does entail the hypothesis because it implies that you have the ability to play";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes, the premise does entail the hypothesis. The premise mentions that the pliers """;;
"  
Yes, the premise does entail the hypothesis. The premise states that the pendul";;
"  
Yes, the premise does entail the hypothesis. The absence of snow in Beijing today";;
"  
Yes, the premise does entail the hypothesis. The lack of evidence for something implies that it";;
"  
Yes, the premise does entail the hypothesis. The premise states that ""Baie";;
"  
Yes, the premise entails the hypothesis. The premise states that ""Baie sta";;
"  
Yes, the premise does entail the hypothesis. The premise states that the security group holds";;
"  
Yes";;
"  
Yes, the premise entails the hypothesis. The premise states that the engineering project was completed";;
"  
Yes, the premise does entail the hypothesis. The premise states that ""Voorlop";;
"  
Yes. The premise suggests that many organizations do not have a clear idea of how to manage their";;
"  
Yes. The premise does entail the hypothesis because it suggests that there are different ways for organizations";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes. The premise does entail the hypothesis because it suggests that government officials and decision-m";;
"  
Yes. The premise does entail the hypothesis because it suggests that government officials and decision-m";;
"  
Yes, the premise does entail the hypothesis. The premise states that the text must be";;
"  
Yes, the premise does entail the hypothesis. The premise states that the language learners";;
"  
Yes, the premise entails the hypothesis. The premise states that a single C-R";;
"  
Yes, the premise entails the hypothesis. The premise states that there are certain C-";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes, the premise entails the hypothesis. The premise states that ""Figure 4";;
"  
Yes, the premise does entail the hypothesis. The premise provides a general framework for understanding";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes, the premise entails the hypothesis because if the payment is approved before confirmation of the";;
"  
Yes, the premise does entail the hypothesis. The premise states that payment will only be";;
"  
Yes";;
"  
Yes. The premise does entail the hypothesis because it suggests that technology is highly integrated with business";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes, the premise does entail the hypothesis because if the line consists of positive nodes, then";;
"  
Yes, the premise does entail the hypothesis. The premise states that there are lines of";;
"  
Yes, the premise does entail the hypothesis. The premise states that Centrelink has developed";;
"  
Yes, the premise does entail the hypothesis. The premise states that Centrelink has developed";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes, the premise does entail the hypothesis. The premise states that South Carolina will have";;
"  
Yes, the premise does entail the hypothesis. The premise states that South Carolina will have";;
"  
Yes, the premise entails the hypothesis. The premise states that a state attorney will";;
"  
Yes, the premise does entail the hypothesis. The premise states that a state attorney";;
"  
Yes, the premise does entail the hypothesis. The premise states that the CIO has";;
"  
Yes, the premise entails the hypothesis. The premise states that the CIO has not";;
"  
Yes, the premise entails the hypothesis. The premise states that according to an expert of";;
"  
Yes, the premise entails the hypothesis. The premise states that according to an expert of";;
"  
Yes";;
"  
Yes";;
"  
Yes, the premise does entail the hypothesis. The premise states that prototypes are";;
"  
Yes, the premise does entail the hypothesis. The premise states that prototypes are";;
"  
Yes";;
"  
Yes";;
"  
Yes, the premise entails the hypothesis because if BLM had any information, they would have";;
"  
Yes, the premise entails the hypothesis. The premise states that BLM has achieved successful";;
"  
Yes. The premise states that the state capital hosts more than 600 software companies,";;
"  
Yes. The premise states that a state capital receives more than 600 software companies,";;
"  
Yes, the premise does entail the hypothesis. The premise states that all necessary elements are";;
"  
Yes, the premise does entail the hypothesis. The premise states that all necessary parts or";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes. The premise does entail the hypothesis because it states that the executive head is responsible for";;
"  
Yes, the premise does entail the hypothesis. The development of a CIO organization is a";;
"  
Yes, the premise does entail the hypothesis. The premise sets out a broad framework for";;
"  
No";;
"  
Yes";;
"  
Yes. The premise and hypothesis are logically connected in that if the premise is true,";;
"  
Yes. The premise states that saving money is necessary to accumulate wealth, and the hypothesis states";;
"  
Yes";;
"  
Yes";;
"  
Yes, the premise does entail the hypothesis. The premise states that if a client leaves";;
"  
Yes, the premise does entail the hypothesis. The premise states that G. Laste";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes, the premise does entail the hypothesis. The premise states that ""Die fisk";;
"  
Yes, the premise entails the hypothesis because if the year 2000 was a";;
"  
Yes. The premise does entail the hypothesis because if there is no threshold for exposure,";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes, the premise entails the hypothesis because if we can more precisely measure and predict the timing";;
"  
Yes, the premise does entail the hypothesis. The premise states that we can hit more";;
"  
Yes, the premise does entail the hypothesis. The premise states that kwik (le";;
"  
Yes, the premise does entail the hypothesis because if kwik is dissolved in water,";;
"  
Yes";;
"  
Yes. The premise does entail the hypothesis because it suggests that the GAO's";;
"  
Yes, the premise does entail the hypothesis. The premise states that ""posdigthe";;
"  
Yes, the premise does entail the hypothesis. The premise states that ""posdigthe";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes, the premise entails the hypothesis. The premise states that it is important to make";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes, the premise does entail the hypothesis. The premise states that the Bar Foundation was";;
"  
Yes, the premise does entail the hypothesis because it provides a justification for why electrosh";;
"  
Yes, the premise does entail the hypothesis. The premise provides general information about the types";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
 The premise states that when a loan is made to a company,;;
 The premise states that when such an event occurs, the lending;;
"  
Yes";;
"  
Yes";;
"  
Yes, the premise entails the hypothesis because if the commission is not free to make any recommend";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes, the premise does entail the hypothesis. The premise states that postdenials";;
"  
Yes, the premise does entail the hypothesis. The premise states that postdenial is";;
"  
Yes, the premise entails the hypothesis because the premise states that there is no way to";;
"  
Yes, the premise does entail the hypothesis. The premise states that ons aanv";;
"  
Yes";;
"  
Yes";;
"  
Yes, the premise does entail the hypothesis. The premise provides evidence that interventions";;
"  
Yes, the premise entails the hypothesis because if a growing amount of evidence shows that intervent";;
"  
Yes";;
"  
Yes. The premise does entail the hypothesis because it suggests that monitoring and managing transportation";;
"  
Yes, the premise entails the hypothesis because if there are no practical improvements in the system that";;
"  
Yes, the premise entails the hypothesis. The premise states that significant standstill impact";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes, the premise does entail the hypothesis. The premise states that using new technology to";;
"  
Yes, the premise does entail the hypothesis because it implies that there are gaps in the";;
"  
Yes, the premise entails the hypothesis because if it takes 46 weeks for one unit";;
"  
Yes, the premise does entail the hypothesis. The premise states that it takes 4";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes. The premise does entail the hypothesis because it suggests that the new requirements set by the";;
"  
Yes";;
"  
Yes. The premise does entail the hypothesis because it provides a reason for why the initiative";;
"  
Yes, the premise entails the hypothesis. The premise states that the outage period can";;
"  
Yes, the premise entails the hypothesis. The premise states that there can be a three";;
"  
Yes, the premise entails the hypothesis. The premise states that many codes can be dec";;
"  
Yes, the premise entails the hypothesis. The premise states that many routes can be driven";;
"  
Yes";;
"  
Yes";;
 The premise states that new challenges are not limited to;;
"  
Yes";;
"  
Yes, the premise entails the hypothesis. The premise states that the negative effects of alco";;
"  
Yes, the premise entails the hypothesis. The premise states that people who have been sex";;
 The premise states that the engineering unit is capable of burning approximately ;;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes, the premise does entail the hypothesis. The premise provides reasons why certain characteristics may";;
"  
Yes, the premise does entail the hypothesis. The premise provides reasons why certain characteristics may";;
"  
Yes";;
"  
Yes";;
"  
Yes, the premise does entail the hypothesis. The premise states that important steps must be";;
"  
Yes, the premise does entail the hypothesis. The premise states that important steps must be";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes, the premise entails the hypothesis because if the basis for evaluating the reliability of";;
"  
Yes, the premise does entail the hypothesis. The premise states that ""the data is";;
"  
Yes";;
 The premise states that a pension fund consists of an out;;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes, the premise entails the hypothesis because if a German manufacturer of SCR systems install";;
"  
Yes, the premise entails the hypothesis. The premise states that a German manufacturer of";;
"  
Yes, the premise does entail the hypothesis. The premise states that both employer and";;
"  
Yes, the premise does entail the hypothesis. The premise states that workman's";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes, the premise entails the hypothesis. The federal government has consistently shown a reluct";;
"  
Yes, the premise does entail the hypothesis. The premise sets out to apply performance-";;
"  
Yes, the premise does entail the hypothesis. The premise states that approximately one-third";;
"  
Yes, the premise does entail the hypothesis. The premise states that approximately one-third";;
"  
Yes, the premise entails the hypothesis. The premise states that Texas believes that diverse";;
"  
Yes, the premise entails the hypothesis. The premise states that Texas views different forms of";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes, the premise does entail the hypothesis. The premise states that there should be attention";;
"  
Yes, the premise does entail the hypothesis. The premise states that the impact of digital";;
"  
Yes";;
"  
Yes";;
 The premise states that CCS will provide statistics for each of;;
 The premise states that there are 13,21;;
"  
Yes, the premise does entail the hypothesis. The premise states that there is a direct";;
"  
Yes, the premise does entail the hypothesis. The premise states that there is a direct";;
"  
Yes";;
  The premise;;
"  
Yes, the premise entails the hypothesis because if there is no way to determine how much moon";;
"  
Yes";;
"  
Yes, the premise does entail the hypothesis. The premise states that high-income";;
"  
Yes, the premise does entail the hypothesis because if the statistics in tables A2 and A";;
"  
Yes";;
"  
Yes";;
"  
Yes, the premise does entail the hypothesis. The premise states that foreign workers are moving";;
"  
Yes, the premise does entail the hypothesis because if there are many foreign workers moving within the";;
"  
Yes, the premise entails the hypothesis. The premise states that ""Veertig";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes, the premise entails the hypothesis. The premise states that the density of the United";;
"  
Yes, the premise entails the hypothesis because if the United States has a greater population density than";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes, the premise does entail the hypothesis. The premise states that there is a standard";;
"  
Yes, the premise entails the hypothesis. The premise states that there is no reason for";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes, the premise entails the hypothesis because the premise states that the group meets monthly";;
"  
Yes, the premise entails the hypothesis because it states that the group meets twice a year to";;
"  
Yes, the premise entails the hypothesis. The premise states that federal workers can participate";;
"  
Yes, the premise entails the hypothesis. The premise states that federal employees can also particip";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
"  
Yes";;
 The premise states that the new system may appear abstract to the average;;
"  
Yes, the premise entails the hypothesis because if there are no prototypes, then there";;
"  
Yes, the premise does entail the hypothesis. The premise mentions ""prototypes""";;
"  
Yes. The premise does entail the hypothesis because it implies that the government will be affected by";;
"  
Yes. The premise does entail the hypothesis because it implies that the government will not be affected";;
"  
Yes, the premise does entail the hypothesis. The premise states that ""Die demograf";;
"  
Yes, the premise does entail the hypothesis. The premise states that the same five-";;
"  
Yes";;
"  
Yes, the premise does entail the hypothesis. The premise states that there is no formal";;
"  
Yes";;
"  
Yes";;
"  
Yes, the premise does entail the hypothesis. The premise states that the C-R";;
"  
Yes, the premise does entail the hypothesis. The premise states that the C-R";;
"  
Yes";;
"  
Yes";;
"  
Yes, the premise does entail the hypothesis. The premise states that ""Nie-";;
"  
Yes, the premise does entail the hypothesis. The definition of a non-traded transaction";;
"  
Yes, the premise does entail the hypothesis. The premise states that verwydering";;
"  
Yes, the premise does entail the hypothesis. The definition of a trust fund as provided in";;
"  
Yes, the premise does entail the hypothesis. The premise states that the company is willing";;
"  
Yes, the premise does entail the hypothesis. The premise states that the company is willing";;
"  
Yes";;
"  
Yes";;
"  
Yes, the premise does entail the hypothesis. The premise states that the ED provides an";;
"  
Yes, the premise does entail the hypothesis. The premise suggests that early detection and treatment";;
"  
Yes, the premise does entail the hypothesis. The premise states that the field representatives";;
"  
Yes";;
"  
Yes, the premise does entail the hypothesis. The premise states that there are responsib";;
